Sr. No.,Booking ID,Service Type,Service Name,Location,Customer ID,Professional ID,Transaction Amount,Transaction Status,Rating,Reviews
1,1,HouseKeeping,DeepCleaning,location,5,2,150.0,Accepted,5,good
2,2,HouseKeeping,Floor Polishing,location,5,2,150.0,Accepted,5,very nice
3,3,HouseKeeping,Decluttering,location,5,2,150.0,Accepted,4,nice
4,4,HouseKeeping,Decluttering,location,5,2,150.0,Accepted,,
5,1,HouseKeeping,DeepCleaning,location,5,2,120.0,Completed,5,good
6,2,HouseKeeping,Floor Polishing,location,5,2,120.0,Completed,5,very nice
7,3,HouseKeeping,Decluttering,location,5,2,120.0,Completed,4,nice
8,4,HouseKeeping,Decluttering,location,5,2,120.0,Completed,,
9,1,HouseKeeping,DeepCleaning,location,5,2,200.0,Completed,5,good
10,2,HouseKeeping,Floor Polishing,location,5,2,200.0,Completed,5,very nice
11,3,HouseKeeping,Decluttering,location,5,2,200.0,Completed,4,nice
12,4,HouseKeeping,Decluttering,location,5,2,200.0,Completed,,
13,1,HouseKeeping,DeepCleaning,location,5,2,200.0,Completed,5,good
14,2,HouseKeeping,Floor Polishing,location,5,2,200.0,Completed,5,very nice
15,3,HouseKeeping,Decluttering,location,5,2,200.0,Completed,4,nice
16,4,HouseKeeping,Decluttering,location,5,2,200.0,Completed,,
17,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Completed,5,good
18,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Completed,5,very nice
19,3,HouseKeeping,Decluttering,location,5,4,120.0,Completed,4,nice
20,4,HouseKeeping,Decluttering,location,5,4,120.0,Completed,,
21,1,HouseKeeping,DeepCleaning,location,9,4,200.0,Completed,5,good
22,2,HouseKeeping,Floor Polishing,location,9,4,200.0,Completed,5,very nice
23,3,HouseKeeping,Decluttering,location,9,4,200.0,Completed,4,nice
24,4,HouseKeeping,Decluttering,location,9,4,200.0,Completed,,
25,1,HouseKeeping,DeepCleaning,location,9,4,120.0,Completed,5,good
26,2,HouseKeeping,Floor Polishing,location,9,4,120.0,Completed,5,very nice
27,3,HouseKeeping,Decluttering,location,9,4,120.0,Completed,4,nice
28,4,HouseKeeping,Decluttering,location,9,4,120.0,Completed,,
29,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
30,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,5,very nice
31,3,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,4,nice
32,4,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,,
33,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
34,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,5,very nice
35,3,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,4,nice
36,4,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,,
37,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
38,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,5,very nice
39,3,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,4,nice
40,4,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,,
41,1,HouseKeeping,DeepCleaning,location,5,4,120.0,Accepted,5,good
42,2,HouseKeeping,Floor Polishing,location,5,4,120.0,Accepted,5,very nice
43,3,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,4,nice
44,4,HouseKeeping,Decluttering,location,5,4,120.0,Accepted,,
45,1,HouseKeeping,DeepCleaning,location,5,4,200.0,Accepted,5,good
46,2,HouseKeeping,Floor Polishing,location,5,4,200.0,Accepted,5,very nice
47,3,HouseKeeping,Decluttering,location,5,4,200.0,Accepted,4,nice
48,4,HouseKeeping,Decluttering,location,5,4,200.0,Accepted,,
49,1,HouseKeeping,DeepCleaning,location,9,4,200.0,Completed,5,good
50,2,HouseKeeping,Floor Polishing,location,9,4,200.0,Completed,5,very nice
51,3,HouseKeeping,Decluttering,location,9,4,200.0,Completed,4,nice
52,4,HouseKeeping,Decluttering,location,9,4,200.0,Completed,,
53,1,HouseKeeping,DeepCleaning,location,9,4,120.0,Accepted,5,good
